1, -1.009259, -1.009259, -1.009259
1, -0.807746, -0.807746, -0.807746
1, -0.605874, -0.605874, -0.605874
1, -0.403937, -0.403937, -0.403937
1, -0.201981, -0.201981, -0.201981
1, -0.000019, -0.000019, -0.000019
1, 0.201937, 0.201937, 0.201937
1, 0.403874, 0.403874, 0.403874
1, 0.605746, 0.605746, 0.605746
1, 0.807259, 0.807259, 0.807259
2, -1.017789, -1.017789, -1.017789
2, -0.815245, -0.815245, -0.815245
2, -0.611625, -0.611625, -0.611625
2, -0.407813, -0.407813, -0.407813
2, -0.203943, -0.203943, -0.203943
2, -0.000057, -0.000057, -0.000057
2, 0.203813, 0.203813, 0.203813
2, 0.407625, 0.407625, 0.407625
2, 0.611245, 0.611245, 0.611245
2, 0.813789, 0.813789, 0.813789
3, -1.025599, -1.025599, -1.025599
3, -0.822505, -0.822505, -0.822505
3, -0.617257, -0.617257, -0.617257
3, -0.411630, -0.411630, -0.411630
3, -0.205886, -0.205886, -0.205886
3, -0.000114, -0.000114, -0.000114
3, 0.205630, 0.205630, 0.205630
3, 0.411257, 0.411257, 0.411257
3, 0.616505, 0.616505, 0.616505
3, 0.819599, 0.819599, 0.819599
4, -1.032694, -1.032694, -1.032694
4, -0.829533, -0.829533, -0.829533
4, -0.622773, -0.622773, -0.622773
4, -0.415388, -0.415388, -0.415388
4, -0.207812, -0.207812, -0.207812
4, -0.000188, -0.000188, -0.000188
4, 0.207388, 0.207388, 0.207388
4, 0.414773, 0.414773, 0.414773
4, 0.621533, 0.621533, 0.621533
4, 0.824694, 0.824694, 0.824694
5, -1.039076, -1.039076, -1.039076
5, -0.836342, -0.836342, -0.836342
5, -0.628177, -0.628177, -0.628177
5, -0.419091, -0.419091, -0.419091
5, -0.209721, -0.209721, -0.209721
5, -0.000279, -0.000279, -0.000279
5, 0.209091, 0.209091, 0.209091
5, 0.418177, 0.418177, 0.418177
5, 0.626342, 0.626342, 0.626342
5, 0.829076, 0.829076, 0.829076
6, -1.044747, -1.044747, -1.044747
6, -0.842942, -0.842942, -0.842942
6, -0.633474, -0.633474, -0.633474
6, -0.422739, -0.422739, -0.422739
6, -0.211612, -0.211612, -0.211612
6, -0.000388, -0.000388, -0.000388
6, 0.210739, 0.210739, 0.210739
6, 0.421474, 0.421474, 0.421474
6, 0.630942, 0.630942, 0.630942
6, 0.832747, 0.832747, 0.832747
7, -1.049703, -1.049703, -1.049703
7, -0.849346, -0.849346, -0.849346
7, -0.638668, -0.638668, -0.638668
7, -0.426336, -0.426336, -0.426336
7, -0.213488, -0.213488, -0.213488
7, -0.000512, -0.000512, -0.000512
7, 0.212336, 0.212336, 0.212336
7, 0.424669, 0.424669, 0.424669
7, 0.635346, 0.635346, 0.635346
7, 0.835703, 0.835703, 0.835703
8, -1.053938, -1.053938, -1.053938
8, -0.855569, -0.855569, -0.855569
8, -0.643766, -0.643766, -0.643766
8, -0.429882, -0.429882, -0.429882
8, -0.215348, -0.215348, -0.215348
8, -0.000652, -0.000652, -0.000652
8, 0.213882, 0.213882, 0.213882
8, 0.427766, 0.427766, 0.427766
8, 0.639569, 0.639569, 0.639569
8, 0.837938, 0.837938, 0.837938
9, -1.057443, -1.057443, -1.057443
9, -0.861630, -0.861630, -0.861630
9, -0.648771, -0.648771, -0.648771
9, -0.433381, -0.433381, -0.433381
9, -0.217194, -0.217194, -0.217194
9, -0.000806, -0.000806, -0.000806
9, 0.215381, 0.215381, 0.215381
9, 0.430771, 0.430771, 0.430771
9, 0.643630, 0.643630, 0.643630
9, 0.839443, 0.839443, 0.839443
10, -1.060203, -1.060203, -1.060203
10, -0.867547, -0.867547, -0.867547
10, -0.653690, -0.653690, -0.653690
10, -0.436834, -0.436834, -0.436834
10, -0.219025, -0.219025, -0.219025
10, -0.000975, -0.000975, -0.000975
10, 0.216834, 0.216834, 0.216834
10, 0.433690, 0.433690, 0.433690
10, 0.647547, 0.647547, 0.647547
10, 0.840204, 0.840204, 0.840204
